Name,Phone Number,Website,Address,Google Maps URL,Rating,User Ratings Total,Price Level,Operating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Estórias na Casa da Comida,21 386 0889,http://www.casadacomida.pt/,"Travessa das Amoreiras 1, Lisboa",https://maps.google.com/?cid=9459434072410748278,4.5,466,3.0,True,Closed,7:30 – 10:30 PM,7:30 – 10:30 PM,7:30 – 10:30 PM,7:30 – 10:30 PM,7:30 – 10:30 PM,Closed
Everest Montanha,21 887 6428,,"Calçada Garcia 15, Lisboa",https://maps.google.com/?cid=13832604808382166892,4.5,323,1.0,True,"12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM"
Everest Montanha,912 329 572,,"Avenida do Brasil 130C, Lisboa",https://maps.google.com/?cid=7170541100273686156,4.3,1603,2.0,True,"11:00 AM – 3:30 PM, 7:00 – 11:30 PM","11:00 AM – 3:30 PM, 7:00 – 11:30 PM","11:00 AM – 3:30 PM, 7:00 – 11:30 PM","11:00 AM – 3:30 PM, 7:00 – 11:30 PM","11:00 AM – 3:30 PM, 7:00 – 11:30 PM","11:00 AM – 3:30 PM, 7:00 – 11:30 PM","11:00 AM – 3:30 PM, 7:00 – 11:30 PM"
Everest Montanha,21 386 6218,https://everest-montanha.com/,"Rua Artilharia 1 26, Lisboa",https://maps.google.com/?cid=4482980946059249185,4.4,674,2.0,True,"12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM","12:00 – 3:00 PM, 7:00 PM – 12:00 AM"
Everest Montanha,21 846 1666,http://www.montanhaeverest.com/,"Largo Frei Heitor Pinto 4a, Lisboa",https://maps.google.com/?cid=13635656988040243355,4.3,768,,True,"11:30 AM – 3:00 PM, 7:00 – 11:00 PM","11:30 AM – 3:00 PM, 7:00 – 11:00 PM","11:30 AM – 3:00 PM, 7:00 – 11:00 PM","11:30 AM – 3:00 PM, 7:00 – 11:00 PM","11:30 AM – 3:00 PM, 7:00 – 11:00 PM","11:30 AM – 3:00 PM, 7:00 – 11:00 PM","11:30 AM – 3:00 PM, 7:00 – 11:00 PM"
"Everest Montanha e, Algés",21 411 3532,https://www.facebook.com/profile.php?id=61554673686123,"Rua Doutor Augusto José da Cunha 3g, Algés",https://maps.google.com/?cid=5796154876069647425,4.2,670,1.0,True,"12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM"
Feitoria,21 040 0208,https://www.restaurantefeitoria.com/,"Altis Belem Hotel & Spa, Doca do Bom Sucesso, Lisboa",https://maps.google.com/?cid=9911477366280683922,4.7,481,4.0,True,Closed,7:00 – 10:30 PM,7:00 – 10:30 PM,7:00 – 10:30 PM,7:00 – 10:30 PM,7:00 – 10:30 PM,Closed
Forneria,933 294 274,https://forneriapizzaria.pt/,"Via do Oriente 16A, Lisboa",https://maps.google.com/?cid=16324758542599553362,4.2,1337,2.0,True,"12:30 – 3:30 PM, 7:00 – 11:00 PM","12:30 – 3:30 PM, 7:00 – 11:00 PM","12:30 – 3:30 PM, 7:00 – 11:00 PM","12:30 – 3:30 PM, 7:00 – 11:00 PM","12:30 – 3:30 PM, 7:00 – 11:00 PM","12:30 – 3:30 PM, 7:00 – 11:00 PM","12:30 – 3:30 PM, 7:00 – 11:00 PM"
Furnas do Guincho,21 486 9243,https://www.furnasdoguincho.pt/,Guincho,https://maps.google.com/?cid=3841455974777081042,4.5,3168,3.0,True,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM
Gambrinus,21 342 1466,http://www.gambrinuslisboa.com/,"Rua das Portas de Santo Antão 23, Lisboa",https://maps.google.com/?cid=802748043189972148,4.4,1810,4.0,True,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM
The Food Temple,21 887 4397,https://www.thefoodtemple.com/,"Beco do Jasmim 18, Lisboa",https://maps.google.com/?cid=15623618164887089186,4.5,1077,2.0,True,Closed,6:30 – 11:30 PM,6:30 – 11:30 PM,6:30 – 11:30 PM,6:30 – 11:30 PM,6:30 – 11:30 PM,6:30 – 11:30 PM
e Go Juu,21 828 0704,http://www.gojuu.pt/,"Rua Marquês Sá da Bandeira 46A, Lisboa",https://maps.google.com/?cid=7682497656892660663,4.7,722,4.0,True,Closed,"12:30 – 2:30 PM, 7:30 – 10:30 PM","12:30 – 2:30 PM, 7:30 – 10:30 PM","12:30 – 2:30 PM, 7:30 – 10:30 PM","12:30 – 2:30 PM, 7:30 – 10:30 PM","12:30 – 2:30 PM, 7:30 – 10:30 PM",Closed
Estoril Mandarim,21 466 7270,https://www.airmenu.com/restmandarim,"Casino Estoril, Avenida Doutor Stanley Ho, Estoril",https://maps.google.com/?cid=983926146192729,4.3,332,,True,Closed,Closed,"12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM"
Ground Burger,21 371 7171,http://groundburger.com/,"Avenida António Augusto de Aguiar 148 A R/C, Lisboa",https://maps.google.com/?cid=7574182802541284257,4.4,6082,2.0,True,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM
Ground Burger,,https://www.groundburger.com/,"Time Out Market Lisboa, Avenida 24 de Julho 49, Lisboa",https://maps.google.com/?cid=3709828665248354914,4.1,382,,True,10:00 AM – 12:00 AM,10:00 AM – 12:00 AM,10:00 AM – 12:00 AM,10:00 AM – 12:00 AM,10:00 AM – 1:00 AM,10:00 AM – 1:00 AM,10:00 AM – 12:00 AM
Hikidashi Taberna Japonesa,21 395 5555,https://www.instagram.com/hikidashilisboa/?hl=en,"Rua Coelho da Rocha 20A, Lisboa",https://maps.google.com/?cid=5265630864611083495,4.6,540,3.0,True,Closed,"12:30 – 3:00 PM, 7:30 – 11:30 PM","12:30 – 3:00 PM, 7:30 – 11:30 PM","12:30 – 3:00 PM, 7:30 – 11:30 PM","12:30 – 3:00 PM, 7:30 – 11:30 PM","12:30 – 3:00 PM, 7:30 – 11:30 PM","12:30 – 3:00 PM, 7:30 – 11:30 PM"
Prado,21 053 4649,http://pradorestaurante.com/,"Travessa das Pedras Negras 2, Lisboa",https://maps.google.com/?cid=4385704124324925395,4.3,1115,2.0,True,Closed,7:00 – 10:30 PM,7:00 – 10:30 PM,"12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM",Closed
e Solar dos Nunes,21 364 7359,https://www.solardosnunes.net/,"Rua dos Lusíadas 68, Lisboa",https://maps.google.com/?cid=14108313659741280328,4.3,1363,3.0,True,"12:00 – 3:00 PM, 7:00 PM – 1:00 AM","12:00 – 3:00 PM, 7:00 PM – 1:00 AM","12:00 – 3:00 PM, 7:00 PM – 1:00 AM","12:00 – 3:00 PM, 7:00 PM – 1:00 AM","12:00 – 3:00 PM, 7:00 PM – 1:00 AM","12:00 – 3:00 PM, 7:00 PM – 1:00 AM",Closed
RIB Beef & Wine Lisboa,968 578 962,https://www.pousadas.pt/en/hotel/pousada-lisboa/dining?utm_source=google-my-business&utm_medium=organicsearch&utm_campaign=restaurante-rib-beef-wine-pousada-lisboa&tc=114035,"Praça do Comércio 31 34, Lisboa",https://maps.google.com/?cid=10346438137066777212,4.3,913,3.0,True,12:30 – 10:30 PM,12:30 – 10:30 PM,12:30 – 10:30 PM,12:30 – 10:30 PM,12:30 – 10:30 PM,12:30 – 10:30 PM,12:30 – 10:30 PM
Il Matriciano,21 395 2639,http://facebook.com/ilmatriciano.ristoranteitaliano,"Rua de São Bento 107, Lisboa",https://maps.google.com/?cid=7041727733299543802,4.5,883,3.0,True,"12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM",Closed
Sea Me Peixaria Moderna,21 346 1564,http://peixariamoderna.com/,"Rua do Loreto 21, Lisboa",https://maps.google.com/?cid=5178342460019435022,4.2,2780,3.0,True,"12:30 – 3:30 PM, 7:00 PM – 12:00 AM","12:30 – 3:30 PM, 7:00 PM – 12:00 AM","12:30 – 3:30 PM, 7:00 PM – 12:00 AM","12:30 – 3:30 PM, 7:00 PM – 12:00 AM","12:30 – 3:30 PM, 7:00 PM – 12:00 AM",12:30 PM – 12:00 AM,12:30 PM – 12:00 AM
Sea Me Next Door,21 259 0445,http://peixariamoderna.com/,"Rua do Loreto 59, Lisboa",https://maps.google.com/?cid=14288507950581493908,4.4,150,,True,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM
Sea Me - TimeOut Market,,http://peixariamoderna.com/,"Avenida 24 de Julho 49, Lisboa",https://maps.google.com/?cid=14075367596788844221,3.8,481,,True,10:00 AM – 12:00 AM,10:00 AM – 12:00 AM,10:00 AM – 12:00 AM,10:00 AM – 12:00 AM,10:00 AM – 1:00 AM,10:00 AM – 1:00 AM,10:00 AM – 12:00 AM
Il Mercato,21 193 0941,http://sevn.ly/xHqKNEYA,"Passeio do Pátio Bagatela, Rua Artilharia 1 51 Bloco B, Loja M, Lisboa",https://maps.google.com/?cid=10743279556960918708,4.7,3232,2.0,True,Closed,"12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:15 PM, 7:00 – 10:30 PM",12:00 – 3:30 PM
In Bocca Al Lupo,21 390 0582,http://www.inboccaallupo.pt/,"Rua Manuel Bernardes 5A, Lisboa",https://maps.google.com/?cid=2479951402343011768,4.3,671,2.0,True,7:00 – 10:30 PM,Closed,7:00 – 10:30 PM,7:00 – 10:30 PM,7:00 – 11:00 PM,"12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM"
JNcQUOI Avenida,21 936 9900,https://www.jncquoi.com/avenida/,"Avenida da Liberdade 182 184, Lisboa",https://maps.google.com/?cid=10278999336761430263,4.5,2502,4.0,True,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,12:00 PM – 12:00 AM
Kaffeehaus,21 095 6828,http://www.kaffeehaus-lisboa.com/,"Rua Anchieta 3, Lisboa",https://maps.google.com/?cid=17218416810932939341,4.4,1795,2.0,True,11:30 AM – 8:00 PM,11:30 AM – 11:00 PM,11:30 AM – 11:00 PM,11:30 AM – 11:00 PM,11:30 AM – 11:00 PM,10:30 AM – 11:00 PM,10:30 AM – 8:00 PM
Kanazawa,21 301 0292,https://kanazawa.com.pt/,"Rua Damião de Góis 3 A, Lisboa",https://maps.google.com/?cid=2137104604351908642,4.9,242,4.0,True,Closed,7:00 – 11:00 PM,"12:00 – 2:30 PM, 7:00 – 11:00 PM","12:00 – 2:30 PM, 7:00 – 11:00 PM","12:00 – 2:30 PM, 7:00 – 11:00 PM","12:00 – 2:30 PM, 7:00 – 11:00 PM",Closed
La Finestra,21 761 3580,http://www.lafinestra.pt/,"Avenida Conde Valbom Nº52-A, Lisboa",https://maps.google.com/?cid=5474103065059880599,4.1,2143,2.0,True,"12:00 – 3:30 PM, 7:00 PM – 1:00 AM","12:00 – 3:30 PM, 7:00 PM – 1:00 AM","12:00 – 3:30 PM, 7:00 PM – 1:00 AM","12:00 – 3:30 PM, 7:00 PM – 1:00 AM","12:00 – 3:30 PM, 7:00 PM – 1:00 AM","12:00 – 3:30 PM, 7:00 PM – 1:00 AM","12:00 – 3:30 PM, 7:00 PM – 1:00 AM"
Lambrettazzurra Pizzeria,21 808 1218,,"Travessa Visconde da Luz 3, Cascais",https://maps.google.com/?cid=10824078727018315826,4.5,712,2.0,True,7:00 – 11:00 PM,"1:00 – 3:00 PM, 7:00 – 11:00 PM","1:00 – 3:00 PM, 7:00 – 11:00 PM","1:00 – 3:00 PM, 7:00 – 11:00 PM","1:00 – 3:00 PM, 7:00 – 11:00 PM","1:00 – 4:00 PM, 7:00 – 11:00 PM","1:00 – 4:00 PM, 7:00 – 11:00 PM"
Loco,21 395 1861,http://www.loco.pt/,"Rua Navegantes nº53-B, Lisboa",https://maps.google.com/?cid=5614846237833605180,4.7,420,4.0,True,Closed,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,Closed
Macau Dim Sum (Yum Cha Garden),21 135 0006,,"Portugal, Rua Dom João V 31B, Lisboa",https://maps.google.com/?cid=1850890817035677861,4.2,1268,2.0,True,"12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM"
Maria Azeitona,960 115 923,https://mariaazeitona.com/,"Praça de Touros do, Campo Pequeno Loja 606, Lisboa",https://maps.google.com/?cid=11439435768239052355,3.9,200,2.0,True,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM
Mi Dai,968 784 699,https://www.timeout.pt/lisboa/pt/restaurantes/mi-dai,"Calçada da Mouraria 7, Lisboa",https://maps.google.com/?cid=5091942157749781239,4.6,206,1.0,True,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 3:00 PM
Monte Mar Lisboa - e,963 342 983,http://www.montemar.pt/,"Rua da Cintura do Porto de Lisboa Armazém 65, Lisboa",https://maps.google.com/?cid=9126859667222383917,4.0,1692,3.0,True,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM
Mr. Lu,21 352 0613,,"Rua António Pedro 95, Lisboa",https://maps.google.com/?cid=7265283094099029961,4.0,855,1.0,True,6:00 – 11:00 PM,"11:00 AM – 3:00 PM, 6:00 – 11:00 PM","11:00 AM – 3:00 PM, 6:00 – 11:00 PM","11:00 AM – 3:00 PM, 6:00 – 11:00 PM","11:00 AM – 3:00 PM, 6:00 – 11:00 PM","11:00 AM – 3:00 PM, 6:00 – 11:00 PM","11:00 AM – 3:00 PM, 6:00 – 11:00 PM"
The Decadente,911 183 459,,"Rua de São Pedro de Alcântara 81, Lisboa",https://maps.google.com/?cid=3440653532931393532,4.3,1835,2.0,True,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,7:00 – 11:00 PM
Nómada - Avenidas Novas,917 779 737,http://www.nomadalisboa.com/,"Avenida Visconde de Valmor 56E, Lisboa",https://maps.google.com/?cid=9371804318773818184,4.6,1693,3.0,True,"12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:30 PM","1:00 – 3:30 PM, 7:30 – 11:30 PM","1:00 – 3:30 PM, 7:30 – 11:00 PM"
Nova Ásia,21 793 3793,,"Avenida da Igreja 41A, Lisboa",https://maps.google.com/?cid=2291547827743055247,4.2,373,2.0,True,Closed,"12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM"
Nunes Real Marisqueira,21 301 9899,http://www.nunesmarisqueira.pt/,"Rua Bartolomeu Dias 172 E F, Lisboa",https://maps.google.com/?cid=5497671587695776006,4.4,1920,3.0,True,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 – 11:00 PM
O Galito,21 711 1088,https://www.facebook.com/OGalito/,"Rua Adelaide Cabete 7, Lisboa",https://maps.google.com/?cid=5323210971125628602,4.3,681,3.0,True,"12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM",Closed
O Magano,21 395 4522,https://www.restaurantemagano.pt/,"Rua Tomás da Anunciação 52A, Lisboa",https://maps.google.com/?cid=14350311276599385810,4.7,648,2.0,True,"12:15 – 3:30 PM, 7:15 – 10:30 PM","12:15 – 3:30 PM, 7:15 – 10:30 PM","12:15 – 3:30 PM, 7:15 – 10:30 PM","12:15 – 3:30 PM, 7:15 – 10:30 PM","12:15 – 3:30 PM, 7:15 – 10:30 PM","12:15 – 3:30 PM, 7:15 – 10:30 PM",Closed
Volver de Carne y Alma,21 759 8980,http://www.volver.pt/,"Rua Luís de Freitas Branco 5D, Lisboa",https://maps.google.com/?cid=13726355689355593726,4.6,1124,3.0,True,Closed,"12:30 – 2:30 PM, 7:30 – 10:30 PM","12:30 – 2:30 PM, 7:30 – 10:30 PM","12:30 – 2:30 PM, 7:30 – 10:30 PM","12:30 – 2:30 PM, 7:30 – 11:00 PM",7:30 – 11:00 PM,Closed
e O Orelhas,21 416 4597,https://www.tripadvisor.pt/Restaurant_Review-g1154791-d3847268-Reviews-Restaurante_O_Orelhas-Oeiras_Lisbon_District_Central_Portugal.html,"Rua Cesário Verde 80, Queijas",https://maps.google.com/?cid=18151432258970929150,4.2,391,3.0,True,"12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM",Closed
Os Tibetanos,21 314 2038,,"Rua do Salitre 117, Lisboa",https://maps.google.com/?cid=1024274098377178851,4.4,1717,2.0,True,"12:00 – 2:45 PM, 7:30 – 10:30 PM","12:00 – 2:45 PM, 7:30 – 10:30 PM","12:00 – 2:45 PM, 7:30 – 10:30 PM","12:00 – 2:45 PM, 7:30 – 10:30 PM","12:00 – 2:45 PM, 7:30 – 10:30 PM","12:00 – 2:45 PM, 7:30 – 10:30 PM",12:00 – 2:45 PM
Osteria - Cucina di Amici,21 396 0584,,"Rua Madres 52, Lisboa",https://maps.google.com/?cid=4070979709865427437,4.4,1286,2.0,True,7:00 PM – 12:00 AM,"12:30 – 3:00 PM, 7:00 PM – 12:00 AM","12:30 – 3:00 PM, 7:00 PM – 12:00 AM","12:30 – 3:00 PM, 7:00 PM – 12:00 AM","12:30 – 3:00 PM, 7:00 PM – 12:00 AM","12:30 – 4:30 PM, 7:00 PM – 12:00 AM",12:30 – 11:30 PM
Pap'Açôrda,21 346 4811,http://papacorda.com/,"Avenida 24 de Julho 49, Lisboa",https://maps.google.com/?cid=5447231569959593684,4.2,933,3.0,True,7:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,12:00 PM – 12:00 AM
The Old House,21 896 9075,http://theoldhouseportugal.pt/,"Rua da Pimenta 9, Lisboa",https://maps.google.com/?cid=17615213585666799636,4.4,2799,3.0,True,"12:00 – 3:30 PM, 7:00 – 11:30 PM","12:00 – 3:30 PM, 7:00 – 11:30 PM","12:00 – 3:30 PM, 7:00 – 11:30 PM","12:00 – 3:30 PM, 7:00 – 11:30 PM","12:00 – 3:30 PM, 7:00 – 11:30 PM","12:00 – 3:30 PM, 7:00 – 11:30 PM","12:00 – 3:30 PM, 7:00 – 11:30 PM"
Pharmacia Felicidade,21 346 2146,https://m.facebook.com/restaurantepharmacia,"Rua de Santa Catarina n 2 e n, 4, Lisboa",https://maps.google.com/?cid=16346313441182876076,4.2,2680,2.0,True,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 – 11:00 PM
Pinóquio,21 346 5106,https://www.restaurantepinoquio.pt/,"Praça dos Restauradores 79 80, Lisboa",https://maps.google.com/?cid=4005127206435032550,4.2,3930,3.0,True,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM
Cervejaria Ramiro,21 885 1024,http://www.cervejariaramiro.com/,"Avenida Almirante Reis 1 H, Lisboa",https://maps.google.com/?cid=2131959473918823519,4.4,16158,3.0,True,Closed,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM
Rubro Avenida,21 314 4656,http://www.restauranterubro.com/,"Rua Rodrigues Sampaio 33 35, Lisboa",https://maps.google.com/?cid=14426933483858721594,4.3,992,2.0,True,"12:30 – 3:00 PM, 7:00 – 11:00 PM","12:30 – 3:00 PM, 7:00 – 11:00 PM","12:30 – 3:00 PM, 7:00 – 11:00 PM","12:30 – 3:00 PM, 7:00 – 11:00 PM","12:30 – 3:00 PM, 7:00 – 11:00 PM",7:00 – 11:00 PM,Closed
Rubro Campo Pequeno,21 019 1191,http://www.restauranterubro.com/,"Praça de Touros do Campo Pequeno, Loja 607, Lisboa",https://maps.google.com/?cid=12937987981973803283,4.2,1387,2.0,True,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM
Sala Thai,21 603 9946,http://www.salathai.pt/,"Rua Conde Sabugosa 13A, Lisboa",https://maps.google.com/?cid=11219018911808293907,4.3,583,2.0,True,Closed,"12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM",12:00 – 3:00 PM
Salsa & Coentros,21 841 0990,http://restaurantesalsaecoentros.pt/,"Rua Coronel Marques Leitão 12, Lisboa",https://maps.google.com/?cid=8884169710351500813,4.6,1130,2.0,True,"12:30 – 3:00 PM, 7:30 – 10:30 PM","12:30 – 3:00 PM, 7:30 – 10:30 PM","12:30 – 3:00 PM, 7:30 – 10:30 PM","12:30 – 3:00 PM, 7:30 – 10:30 PM","12:30 – 3:00 PM, 7:30 – 10:30 PM","12:30 – 3:00 PM, 7:30 – 10:30 PM",Closed
Solar dos Duques,21 387 2674,https://www.facebook.com/paleologurobert/,"Rua Almeida e Sousa 58B, Lisboa",https://maps.google.com/?cid=14776220751794523497,4.4,239,2.0,True,"12:00 – 3:30 PM, 7:30 – 11:00 PM","12:00 – 3:30 PM, 7:30 – 11:00 PM","12:00 – 3:30 PM, 7:30 – 11:00 PM","12:00 – 3:30 PM, 7:30 – 11:00 PM","12:00 – 3:30 PM, 7:30 – 11:00 PM","12:00 – 3:30 PM, 7:30 – 11:00 PM",Closed
Solar do Duque,21 342 6901,https://instagram.com/solardoduque,"Rua do Duque 67, Lisboa",https://maps.google.com/?cid=56554477765218696,4.3,1361,,True,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 11:30 PM
Sancho,21 346 9780,https://www.restaurantesancho.com/,"Travessa Glória 14, Lisboa",https://maps.google.com/?cid=2210758678594477763,4.4,411,2.0,True,"12:00 – 3:30 PM, 7:00 – 11:00 PM","12:00 – 3:30 PM, 7:00 – 11:00 PM","12:00 – 3:30 PM, 7:00 – 11:00 PM","12:00 – 3:30 PM, 7:00 – 11:00 PM","12:00 – 3:30 PM, 7:00 – 11:00 PM",7:00 – 11:00 PM,Closed
Solar dos Presuntos,21 342 4253,http://www.solardospresuntos.com/,"Rua das Portas de Santo Antão 150, Lisboa",https://maps.google.com/?cid=6887572243664963168,4.5,4469,3.0,True,"12:00 – 3:30 PM, 6:30 – 11:00 PM","12:00 – 3:30 PM, 6:30 – 11:00 PM","12:00 – 3:30 PM, 6:30 – 11:00 PM","12:00 – 3:30 PM, 6:30 – 11:00 PM","12:00 – 3:30 PM, 6:30 – 11:00 PM","12:00 – 3:30 PM, 6:30 – 11:00 PM",Closed
STANISLAV BRUNCH,21 353 0140,https://www.instagram.com/stanislav_cafe/,"1150, Rua São José 182, Lisboa",https://maps.google.com/?cid=6269006268613936099,4.5,1046,,True,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM
Taberna da Esperança,925 059 289,,"Rua da Esperança 112, Lisboa",https://maps.google.com/?cid=17295919846146189271,4.5,431,2.0,True,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,Closed
